Type kjøretøy,Merke,Modell,Årsmodell,Feiltype,Symptomkategori,Symptom (valg),Kommentar,Løsning,Symptomdetalj (manuell),Feilkode,Generell feil,Mitt kjøretøy,Ytterligere symptomdetaljer,Link til kilde
Traktor,Valtra,,,Motor,Motorfeil,"Motor, dårlig effekt",,Luft i drivstoffsystemet.,Valtra feilkode,L359,,,,
Traktor,Valtra,,,PTO,PTO-feil,"PTO, ujevn gange",,PTO slurer.,Valtra feilkode,L419,,,,
Traktor,Valtra,,,Gir,Girfeil,"Girfeil, annet",,Powershift slurer. Sjekk sikring F22.,Valtra feilkode,L422,,,,
Traktor,Valtra,,,Gir,Girfeil,"Girfeil, annet",,Clutch for 4WD slurer.,Valtra feilkode,L449,,,,
Traktor,Valtra,,,Gir,Girfeil,"Gir, får ikke i gir",Feil i ventiler til powershift.,"ventiler som sitter under ei luke midt i hyttegolvet, løsne golvmatta ved dørene og under dash, løft matta bakover mot førerstolen. Under lokket er det et lokk til, da kommer du ned på to like magnetventiler. Den høyre ventilen (nærmest girspaken) er Y4. (P1). Prøv bytte om på de to magnetene, ikke bytt om ledninger! Hvis feilkoden nå endrer seg til P102 er selve magneten defekt. Hvis du fortsatt får P101 er det feil i ledningsnettet mellom ventilen og databoksen inni høyre sidepanel i hytta",Valtra feilkode,P101 P103 P105,,,,
Traktor,Valtra,,,Gir,Girfeil,"Gir, får ikke i gir",,Feil i ventiler til vendegir.,Valtra feilkode,P107 P109,,,,
Traktor,Valtra,,,PTO,PTO-feil,"PTO, starter ikke",,Feil i ventil for innkobling av PTO.,Valtra feilkode,P125,,,,
Traktor,Valtra,,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",,Feil i motorens startkrets. Ny oppstart kan kanskje ikke foretas.,Valtra feilkode,P131,,,,
Traktor,Claas,Arion,,Elektrisk,Girfeil,"Gir, får ikke i gir",Bare piper når vendegir settes fremover. Går bakover.,Det var bryter i vendegirspaken som jukset. Fikk traktor fremover ved å klemme spaken ekstra ned når den stod fremover.,,,,,false,
Traktor,Case,,,Elektroniske styresystemer,Navigasjonsfeil,"Navigasjon, styrer ikke",Rattmotor kuttet ut med feilmelding Controller error. Trimble EZ-steer ,Feil på hjulvinkelgiver og tilhørende kabel.,"Rattmotor koblet ut, controller error",,true,,true,
Traktor,Massey Ferguson,,,Elektroniske styresystemer,Navigasjonsfeil,"Navigasjon, styrer ikke",Får feilmelding på terrengkompensering. Styring opphører. Trimble EZ-steer.,Skiftet børster i rattmotor! Motor var svak.,Feilmelding på terrengkompensering,,true,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Navigasjonsfeil,"Navigasjon, ingen signal","AgOpenGPS. 4G modem på usb mot rtk. Rett som det var kom AgIO frem med røde symbol på antenne, ratt osv.
Merket ikke at den sluttet å styre før traktor var på tur.. Skjedde helt tilfeldig av og til.",Problemet ble borte når jeg flyttet 4G-modem til andre siden av hytta med en usb forlenger-kabel. Virker som 4G-modemet slo ut kommunikasjonen! Hold det langt unna kabler og styreboks.,Mistet kontakt mellom skjerm og gps boks,,true,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Varsellampe, feilkode",Blinker 1 - 6,"Forsyning på pinne 2 og 20 til kontrollenhet for lav. Forsyning til potensiometer, dybdekontroll osv. 9,5 volt ikke ok.",Autocontrol,16,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Løfter ikke. Blinker 1-1,"Dårlig kontakt til eller feil på solenoid for løft. Dårlig kontakt i pinne 35 i stor kontakt. Lav spenning på pinne 29, sjekk sikring.",Autocontrol,11,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Går ikke ned. Blinker 1-2,Feil på eller dårlig kontakt til solenoid til senk. Sjekk sikring og spenning på pin 29 i stor kontakt. Dårlig kontakt i pinne 35.,Autocontrol,12,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 1-3.,Kortslutning (overstrøm) mellom pin 19 og 35 eller 35 og 37 i stor kontakt. Solenoid kan være kortsluttet.,Autocontrol,13,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 1-4,"Solenoid for hev/senk drar ingen strøm. Kan være dårlig kontakt i pinne 19, 35 eller 37 til solenoider eller feil spenning inn på pinne 29, fra sikring.",Autocontrol,14,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 1-5,Feil på trykknappen for hev/senk.,Autocontrol ,15,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 1-7,"Overspenning, mer enn 18V inn på autocontrol",Autocontrol ,17,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 1-8,Signal fra bryter mangler eller er feil. Sjekk pinne 21 i stor kontakt. Dårlig kontakt eller brudd til bryter.,Autocontrol ,18,,,true,
Traktor,Massey Ferguson,165 MP,1971,Elektrisk,Elektrisk feil,"Elektrisk, mangler spenning","Vred om hovedstrømbryter. Var ælldeles svart, overalt. ",Fjernet irr på plusspolen til startbatteriet. God som ny. Går i mange år til. ,Ikke strøm ut av hovedstrømbryter. ,,true,true,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, løfter ikke",Blinker 2-3,Feil på potensiometer for dybde (stort hjul). Brudd eller feil på signal.,Autocontrol,23,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 2-4,Feil på signal fra vribryter for maks løftehøyde / transporthøyde,Autocontrol ,24,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 3-3,"For lav spenning, under 11,5 volt inn på styreboks ",Autocontrol ,33,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 3-4,Feil på signal fra vribryter for senkehastighet,Autocontrol ,34,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 3-6,"Feil signal fra vribryter for slip-control (løft ved hjulspinn, høyre bryter)",Autocontrol ,36,,,true,
Traktor,Valtra,,,Elektroniske styresystemer,Hydraulikkfeil,"Hydraulikk, virker ikke",Blinker 3-6,Feil på signal fra vribryter til automatisk dybderegulering (pløye-funksjon),Autocontrol ,36,,,true,
Traktor,Valtra,,,Hydraulisk,Hydraulikkfeil,"Hydraulikk, ujevn bevegelse",Blinker 3-7. lite løftekraft,"Sjekk at løfte solenoid drar strøm, pinne 37 i stor kontakt. Kan være feil på ventil, skitt i ventil eller lavt oljetrykk. Kommando gis, men ingen respons gir denne koden.",Autocontrol feilkode,37,,,true,
Traktor,John Deere,6220,,Bremser,Bremsefeil,"Brems, feil på parkeringsbrems","Når girspak settes i P, er traktoren fortsatt i fri. Ingen motstand i spak.",Stag nr 22 på bildet hadde falt av.,Park (P) fungerte ikke,,,,true,
Traktor,Valtra,,,Motor,Varsellampe / feilkode,"Varsellampe, feilkode",Lavt oljetrykk,"Sjekk oljenivå og tilstanden til oljen (temperatur, renhet, viskositet etc.) Sjekk oljefilter. Sjekk motorens tilstand, spon i olja? Sjekk kabling til oljetrykksgiver. Test en annen oljetrykksgiver for å se om den kan være defekt. Sjekk at tomgangsturtall er høyt nok.",Valtra feilkode,SPN 100 FMI 1 eller SPN 100 FMI 18,,,,
Traktor,Valtra,,,Motor,Varsellampe / feilkode,"Varsellampe, feilkode",Høyt oljetrykk,Sjekk oljetrykkets trykkreguleringsventil iht. servicemanual. Sjekk kabling og tilkobling til oljetrykksgiver. ,Valtra feilkode,SPN 100 FMI 16,,,,
Traktor,Valtra,,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Oljetrykksgiver defekt,Sjekk kabling og tilkobling til oljetrykksgiver. Sjekk 5V forsyning til giver.,Valtra feilkode,SPN 100 FMI 31,,,,
Traktor,Valtra,,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode","Oljetrykksgiver, lav spenning",Sjekk kabling og tilkobling til oljetrykksgiver. Sjekk 5V forsyning til giver. Forsøk en annen trykkgiver.,Valtra feilkode,SPN 100 FMI 4,,,,
Traktor,Valtra,,,Motor,Varsellampe / feilkode,"Varsellampe, feilkode",Ladetrykk for høyt,Sjekk kabling til ladetrykksgiver. Test en annen giver. Sjekk at turbo og innsprøytningsdyser er originale.,Valtra feilkode,SPN 100 FMI 16,,,,
Traktor,Valtra,,,Motor,Varsellampe / feilkode,"Varsellampe, feilkode",Ladetrykk for lavt,Sjekk ladetrykkskretsen for lekkasjer. Sjekk tilstanden til turboen; går den lett rundt og er lekkasjefri? Sjekk kabling til ladetrykksgiver. Test en annen giver.,Valtra feilkode,SPN 100 FMI 18,,,,
Traktor,Massey Ferguson,,,Gir,Varsellampe / feilkode,"Varsellampe, feilkode",Lavt trykk. Ikke noe signal når motorturtall er over 500rpm,Sjekk nivå og evt lekkasjer. Sjekk tilkobling og ledninger til trykkvakt. Trykkgiver kan være defekt. Se bilder!,,T153,,,,
Traktor,Massey Ferguson,,,Bremser,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode og varsellampe,"Feilkode T138 = Braking pressure less than 70 bar at initialisation.
Feilkode T139 = Braking pressure is less than 70 bar for more than 2 seconds during operation.
Sjekk bremsevæskenivå, evt. lekkasjer og bremsenes funksjon.",,T138 T139,,,,
Traktor,Massey Ferguson,,,Bremser,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode og varsellampe,"Feilkode sier: Braking pressure too high. Sjekk sensorer i bremsekrets, bremsevæskenivå.",,T140,,,,
Traktor,Massey Ferguson,,,Elektrisk,PTO-feil,"PTO, starter ikke",Feilkode og varsellampe. PTO vil ikke gå.,"Feilkode T141 = Rear PTO solenoid valve, short circuit +12V.
Feilkode T142 = ... short circuit 0V
Feilkode T143 = ... open circuit (brudd)

Sjekk spoleventil og tilhørende kabling. Sjekk kontaktpunkter for korrosjon eller dårlig kontakt.",,T141 T142 T143,,,,
Traktor,Massey Ferguson,,,Elektroniske styresystemer,PTO-feil,"PTO, kobler ut",Kraftuttak stopper,"Feilkode T144 = Excessive drop in engine speed
Feilkode T146 = Engine speed too high (>1780rpm in eco PTO)",,T144 T146,,,,
Traktor,Massey Ferguson,,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode og varsellampe,Feilkode T149 = High Pressure braking sensor power supply problem. Sjekk bremsetrykksensor for feil eller dårlig elektrisk forbindelse.,,T149,,,,
Traktor,Case,Maxxum 5120,1993,Elektrisk,Girfeil,"Gir, hopper ut",Fridde ut av og til ved bruk av hurtiggear 3 og 4.,"Skiftet 1 stk. solenoid for hurtiggear, under hytta foran høyre bakhjul.",,,,,,
Traktor,Valtra,T171,,Hydraulisk,Varsellampe / feilkode,"Varsellampe, feilkode","Danfoss feilkode, relatert til hydraulikk. Tipputtak. Koden sier at ventilen ikke kommer seg tilbake i nøytral. Kan være flere årsaker, mest sannsynlig mekanisk.","Feilkodetekst sier: Sjekk for smuss i mekanisk del av ventil, spesielt rundt spolen. Det sitter også et filter i pilot-inngangen som kan være blokkert. Hvis dette ikke hjelper, bytt ventil.",,298991 07,,,,
Traktor,John Deere,6930,,Motor,Varsellampe / feilkode,"Varsellampe, feilkode",Redusert motorkraft og feilkode,"Mulige årsaker til 2795.07
	•	Defekt turboaktuator: Aktuatoren som styrer bevegelsen til turboens variable geometri­skovler kan være defekt.
	•	Problemer med VGT-posisjonssensor: Feil med sensoren som forteller motorstyringsenheten (ECU) turboens posisjon kan utløse denne feilkoden.
	•	Karbonoppbygging: Oppsamling av karbon i turbinhuset kan hindre bevegelsen av VGT-mekanismen.
	•	Elektriske problemer: Skadde eller korroderte ledninger, defekte elektriske styringer eller problemer med kabelnettet kan føre til denne feilen.
	•	Problemer med vakuumslanger: Dersom turboen bruker en vakuumstyrt aktuator, kan lekkasjer eller feil i vakuumslangene forårsake feilen.

Feilsøkingssteg
	1.	Sjekk turbo­mekanismen: Når motoren er kald, trykk manuelt på turboens mekaniske kobling for å kontrollere at den beveger seg jevnt fra stopp til stopp og går tilbake til utgangsposisjon av seg selv.
	2.	Inspiser aktuatoren: Kontroller at turboaktuatoren beveger seg som den skal, og at de elektriske tilkoblingene er sikre og uten korrosjon.
	3.	Undersøk VGT-sensor og ledninger: Inspiser VGT-posisjonssensoren og tilhørende kabelnett for tegn på skade eller korrosjon.
	4.	Kontroller vakuumslanger (hvis aktuelt): Dersom maskinen bruker en vakuumstyrt aktuator, kontroller alle vakuumslanger for lekkasjer eller dårlige tilkoblinger.",Turbo,2795.07,,,true,https://www.justanswer.com/agriculture-and-farm-equipment/f6hr0-edu-2795-07-turbocharger-position-actuator-fault-8310r.html#:~:text=*%20Turbocharger%20actuator%20malfunctioning.%20*%20Engine%20not%20responding%20properly.
Traktor,John Deere,6R,2023,Miljøsystemer,Varsellampe / feilkode,"Varsellampe, feilkode",Tekst på skjerm: Dieseleksosvæskekonsentrasjon svært lav. Tapp og erstatt væsken.,"Adblue hadde krystallisert seg. Hadde på Tunap 987.

Fra hjemmesiden:
Med Tunap 987 eliminerer man enkelt problemet med krystallisering. En liten tilsetning i AdBlue-tanken gir beskyttelse mot krystallisering så lenge tanken varer",,3516.01,,,,
Traktor,Massey Ferguson,,,Hydraulisk,Varsellampe / feilkode,"Varsellampe, feilkode","Feilkoder for hhv. LS2, 3, 4, 5 range 1, 2, 3, 4 solenoid valve.",Feilkode sier brudd på krets til eller kortslutning/jordfeil på krets til solenoider.,,T132 T133 T134 T135,,,,
Traktor,Massey Ferguson,,,Gir,Varsellampe / feilkode,"Varsellampe, feilkode",PowerShuttle eller PowerShift modul.,Feilkodeteksten sier >10% slip mellom motorturtall og «intermediate speed»,,T137,,,,
Traktor,Massey Ferguson,,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode,"Feil på hastighetsgiver for motorturtall, ingen verdi. Sjekk giver og tilkobling.",,T214,,,,
Traktor,Massey Ferguson,,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode,TR11 low pressure switch. Ingen signal fra trykkgiver. Feilkode T = transmisjon,,T253,,,,
Traktor,Massey Ferguson,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode","238-242: TR26 dyna6 solenoid ventil P.
243-247 solenoid ventil L.
248-252 solenoid ventil N.","Alle feilkodene listet indikerer kortslutning, brudd eller overstrøm til respektive ventil.",,T238 T239 T240 T241 T242 T243 T244 T245 T246 T247 T248 T249 T250 T251 T252,,,,
Traktor,Massey Ferguson,135,,Drivstoffsystem,Lekkasje,"Lekkasje, drivstoff",Diesel i olja,Fødepumpa lakk gjennom. Overhalte den med rep kit fra Olsson parts.,Diesel i olja,,,,true,
Traktor,Valmet,805,1987,Elektrisk,Motorfeil,"Motor, starter ikke",Skjedde ingenting når jeg prøvde å starte. Alt av instrumenter var døde.,Åpnet sikringsboksen under rattet. Leet litt på alle sikringer. Oppdaget at ene sikringsholder var litt løs. Skrudde til denne på stjerneskruen der. Alt ok. Kjent feil på 05-serien at det blir dårlig kontakt i sikringene.,Helt dødt,,,true,true,
Traktor,Valmet,805,1987,Elektrisk,PTO-feil,"PTO, starter ikke",Pto gikk ikke rundt!,Dårlig kontakt i sikringsboksen under rattet! Gjorde at elektrisk pto-clutch ikke fungerte. Leet på kontakter og gjorde de rene med elektrospray.,,,,true,,
Traktor,Claas,Arion,,Drivstoffsystem,Motorfeil,"Motor, dårlig effekt",Mistet motoreffekt.,"Feilkode sier blant annet: Sjekk slanger og koblinger i dieselforsyning. Sjekk dieselfilter. Sjekk drivstofftrykk-sensor B42.
Årsaken til feilkoden er «feil trykk i common rail».

Ble bra når jeg skiftet dieselfilter.",,ID7776h,,,,
Traktor,Claas,Arion,,Elektrisk,Drivverk feil,Annet,Feilkode. Fikk ikke i gir.,"Potensiometer på clutchpedal defekt.

Se bilde for feilkodetekst.
",Fikk ikke flyttet traktoren,ID75D6h,,,true,
Traktor,Claas,Arion,,Elektroniske styresystemer,Elektrisk feil,,,Modul merket (A100) var defekt. Dette er kontrolleren til armlenet.,Armlene fungerer ikke,ID7502h,,,,
Traktor,Claas,Arion,,Elektroniske styresystemer,Elektrisk feil,"Elektrisk, annet",Armlene ute av funksjon. Etter omstart av traktoren var kun gir B1 og C1 tilgjengelig.,Feilkodetekst sier at feilen kan ligge i kjørespak (R74) eller sturemodul (A100) til armlene.,,ID7504h ID7505h,,false,false,
Traktor,Claas,Arion,,Elektroniske styresystemer,Instrumentfeil,"Instrument, fungerer ikke",Håndgass fungerte ikke,"Defekt potmeter til håndgass.
Feilkodetekst sier: For høy spenning (06) til eller for lav spenning (07) fra/til håndgass.
Sjekk (R72) potmeter eller styreenhet (A100) til armlene.",,ID7506h ID7507h,,,,
Traktor,Claas,Arion,,PTO,PTO-feil,"PTO, kobler ut",PTO fungerte ikke,"Feilkodebeskrivelsen sier feil på signal fra PTO hastighetssensor (B142), altså at PTO slurer. Det kan også være feil på turtallsensor for motor (B228-1), men det er mindre sannsynlig.",,ID7680h,,,,
Traktor,Claas,Arion,,Elektrisk,PTO-feil,"PTO, kobler ut",PTO stopper/starter ikke,"Feilkodetekst for 81 = brudd til PTO solenoid, 82 = 12V kortslutning, 83 = jordfeil til PTO solenoid.
Sjekk etter feil på ledninger til PTO solenoid.
Sjekk etter feil på selve PTO solenoiden ved f.eks å ohme den for brudd eller sette 12V på den og sjekke at den blir magnetisk.",,ID7681h ID7682h ID7683h,,,,
Traktor,Claas,Arion,,PTO,Varsellampe / feilkode,"Varsellampe, feilkode",PTO stoppet,"Årsak er at motorturtall faller for mye ved innkobling.
Kan være et mekanisk problem med innkoblingsmekanismen til PTO, eller overbelastning (for tungt)",,ID7684h,,,,
Traktor,Claas,Arion,,PTO,Varsellampe / feilkode,"Varsellampe, feilkode",Fikk feilkode ved kjøring av PTO,"Feilkode sier at ""clutchtid for PTO er for lang"". Årsak kan være hastighetssensor til PTO (B142), PTO clutchen i seg selv eller solenoidventil Y325.
Det kan også være lavt hydraulisk trykk eller for lite motorturtall.",,ID7689h,,,,
Traktor,Massey Ferguson,,2012,Gir,Girfeil,"Gir, får ikke i gir","Feilkode girkasse. Feilkodetekst: T125 – Several switch signals (NC: 0 V) at the same time
X488 – Range 1 switch
X489 – Range 2 switch
X490 – Range 3 switch
X491 – Range 4 switch",Dårlig kontakt til sensor/bryter nr 1. Gjorde ren kontakter. Se bilder i kilde.,,T125,,,,https://thefarmingforum.co.uk/index.php?threads/mf-6480-dyna-6-error-code.31838/
Traktor,Massey Ferguson,,2013,Elektrisk,Girfeil,"Gir, får ikke i gir","Feilkodetekst sier: T124 – Range sensors and solenoid valves do not correspond
Range solenoid valve
Range position sensor",Sjekk kontakter til solenoider for hurtiggear. Se kilde.,,T124,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/942/942082-b3eeac1748df82ca289c11303e7ca18a.pdf
Traktor,John Deere,1140,1981,Elektrisk,Motorfeil,"Motor, tungstartet",Alltid veldig tungstartet. Måtte bruke motorvarmer året rundt.,Starter gikk for sakte rundt. Monterte grøvre ledninger til batteriet og gjorde rent jordingspunkter.,,,true,,,
Traktor,Valtra,N141,2012,Frontlaster,Hydraulikkfeil,"Hydraulikk, løfter ikke","Frontlaster Ålø Q56.
Gikk rykkete oppover i starten. Ble etterhvert svakere og svakere.
Til slutt fungerte kun tilt.",Servoventil i sentralen var defekt.,,,true,,false,
Traktor,Valtra,N141 H,2012,Frontlaster,Varsellampe / feilkode,"Varsellampe, lyser",Servicesymbol.,Kvitteres ut ved å holde knapp 2 og 4 inne i 5 sekunder.,"Servicesymbol på lasterstyring (Ålø, liten tommeljoystick, easydrive)",,true,true,true,
Traktor,Claas,Axion,,Drivstoffsystem,Varsellampe / feilkode,"Varsellampe, feilkode","Feilkodetekst sier: Voltage of the signal high presence of water in the fuel.

Traktoren går som normalt.","Vann i diesel eller feil på sensor.
Check water presence sensor B225.
Check engine module A15.",,ID7718h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Hydraulisk,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode.,"Axis 5 of the Electropilot cross control of the armrest is not in neutral or indicates a position other than neutral.
Cause: The electrodistributor 5 is locked. Release after return to neutral.
Check:
– Cross command Electropilot electrodistributor n° 5 (R75).",,ID780Dh,,,,https://www.alltractormanuals.com/claas/claas-error-codes/claas-hyd-a60-claas-hydraulic-module-fault-codes/
Bil,Volvo,240 740 940,1989,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, lyser","Hvordan lese av feilkoder på Volvo B230 motor med LH 2.4 jetronic.
På venstre fjærbenstårn sitter en svart boks med 6 hull og en ledning med plugg. Sett den i hull 2 for diagnose av innsprut, hull 6 for tenning. Sett på tenningen. Trykk inn knappen i 1s. Evt. feilkode blinker.","Felkoder bränsle:

1-1-1 Inga fel

1-1-2 Fel i styrenheten

1-1-3 Insprutningsventil fel

1-2-1 Fel i signal från luftmassmätaren

1-2-3 Signal från kylvätsketemperaturmätaren saknas

1-3-1 Varvtalssignal saknas

1-3-2 Fel batterispänning

1-3-3 Tomgångsläget på spjällkontakten fel

2-1-2 Fel på signal från lambdasonden

2-1-3 Fullastläget på spjällkontakten fel

2-2-1 Lambdaregleringen fel

2-2-3 Signal fel från tomgångsventilen

2-3-1 Lambdaregleringen fel

2-3-2 Lambdaregleringen fel

2-3-3 Tomgångsventilen fel

3-1-1 Hastighetsmätarsignal saknas

3-1-2 Signal för knackuppfettning saknas

3-2-2 Renbränning av tråden ur funktion

Felkoder tändning:

 

1-1-1 Inga fel

1-4-2 Fel i styrenhet, motorn går med nedsatt tändning

1-4-3 Fel i knackgivare, motorn går med nedsatt tändning

1-4-4 Lastsignal saknas

2-1-4 Fel i varvtalsgivare

2-2-4 Temperaturmätare felaktig

2-3-4 Fel i spjällkontakt, motorn går med nedsatt tändning",,,,,,https://www.bilforumet.no/topic/125702-feilkoder-p%C3%A5-b230f/
Bil,Alle,,,Drivstoffsystem,Varsellampe / feilkode,"Varsellampe, feilkode",Tungstartet dieselmotor,Defekt glødeplugg og/eller gløderelé ,Tungstartet,P0671 P0672 P0673 P0674,true,,true,
Bil,Alle,,,Bremser,Varsellampe / feilkode,"Varsellampe, lyser",ABS-feil. Rustet sensor og pulshjul ,Skifte defekt sensor (en ved hvert hjul) og/eller rengjøre pulsring ved hjul ,,,true,,,
Bil,BMW,320d,,Miljøsystemer,Varsellampe / feilkode,"Varsellampe, feilkode",Tett EGR-ventil,"– Rense EGR + rør
– Om nødvendig, bytte EGR",Redusert motoreffekt,P0401,true,,true,
Bil,Volkswagen,Golf 7,,Elektroniske styresystemer,Motorfeil,"Motor, tungstartet",Tungstartet når den er varm,Dårlig kamaksel-sensor,,,,,,
Bil,Volkswagen,Passat,2010,Elektrisk,Bevegelse/rotasjons-feil,Stillstand,Vindusviskere stoppet vilkårlig,"Korrosjon i vindusviskermotor. Demonterte motor, åpnet og renset den. Kunne evt. også kjøpt ny motor.",,,true,,false,
Bil,Toyota,Avensis,2013,Miljøsystemer,Motorfeil,"Motor, ujevn gange",Risting ved lett belastning ,Rense eller bytte EGR-ventil,,P1386,,,false,
Bil,Toyota,Yaris,2015,Drivstoffsystem,Motorfeil,"Motor, ujevn gange",Ujevn tomgang. Vanskelig å starte kald.,Dyserens. Injektordyser var skitne.,,,,,,
Bil,Ford,Focus MK3,,Motor,Motorfeil,"Motor, høyt forbruk",Motorlampe og forbruk av kjølevæske ,Disse bilene har en designfeil på toppen. Måtte bytte topp.,Høyt forbruk av kjølevæske,P0300 P0301,,,true,
Bil,Ford,Transit,2014,Mekanisk,Bevegelse/rotasjons-feil,Annet,Clutchpedal blir hengende,"– Bytte slavesylinder
– Luft hele systemet",,,,,,
Traktor,John Deere,,,Klimaanlegg,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode indikerer « fan motor control circuit fault». Det gjelder vifte under setet.,"Viftemotor under setet må sjekkes. Kan være sikring, kabelbrudd, eller i verste fall defekt motor.",,520715.05,,,,https://youtube.com/shorts/fzEusiiQPWY?si=RfXgyLyMjofxcDO3
Traktor,Valtra,N114,,Kjøling,Klima-feil,"Klima, ingen varme",Dårlig varmeapparat. Varmen kommer hvis motoren ruses opp.,"Det var luft i systemet. Satte traktoren med nesa opp på låvebrua, da kom varmen også på tomgang. Det er utfordrende å lufte systemet helt, men å la traktoren stå med nesa opp med litt turtall en stund kan få ut en del luft.",,,true,,,
Traktor,Valmet,702,,PTO,PTO-feil,"PTO, stopper ikke",PTO-clutchspak frir ikke ut. Kraftuttaket fortsetter å gå.,"Trå inn clutchpedal samtidig som PTO-clutch.
Klassisk sak på 02/04-serien, og er design-relatert.
",,,,,,
Traktor,Valmet,705,1987,Motor,Motorfeil,"Motor, overoppheting","Motor koker. Vannpumpe, termostat og radiator er kontrollert ok.",Viste seg å være defekt toppakning. Eksos lakk da inn i kjølevannet og varmet det opp.,,,true,,,
Traktor,Case,Maxxum 5120,1994,Kjøling,Motorfeil,"Motor, overoppheting",Motor ble varm. Dårlig kjøling.,"Radiatorlokket var utett. Varmeapparat i taket, krever mer trykk i systemet.",,,true,,,
Traktor,John Deere,6600,,Hydraulisk ekstern,Lekkasje,"Lekkasje, vann",Til stadighet vann i hydraulikkolja ,"Er en vanlig feil på disse (hele serien, 6300,6400,6800,6506 osv)
Det kommer oftest inn vann i luftinga som sitter midt oppå bakstussen, foran toppstagfestet.
Bytt ut tettenippel med en ansats og legg ut en slange. Pass på å tette ansatsen godt.",Vann i hydraulikk,,,,true,
Traktor,John Deere,5820,,Styring og oppheng,Styring,"Styring, tung styring",Veldig tung på rattet. Trodde servo var dårlig.,Defekt lager i rattstammen!,,,,,,
Traktor,Massey Ferguson,5714,2014,Elektroniske styresystemer,Girfeil,"Gir, annet","Ingen feil, men irritasjon.","Slå av automatisk forvalg.
Inn med clutch, sett vendegir framover.
Trykk vendegir mot minus, samtidig som du tar girspak i armlenenet bakover - samtidig som du OGSÅ holder inne knapp til serieskifte.
Man ser da forhåndsvalgte gir endre seg i venstre display. Hvis du holder alt bakover og knappen inne, når du til slutt OF, og da er saken løst.","Ingen feil, men den velger et forhåndsprogrammert gir ved stopp og retningsendring!",,,,true,
Traktor,Claas,Ares 697 ATZ,,Mekanisk,Instrumentfeil,"Instrument, fungerer ikke",Håndgass fungerte ikke. Spaken gikk unormalt lett.,Wire var ødelagt. Vanlig feil på denne modellen.,Håndgass fungerte ikke,,,,true,
Traktor,Ford,3000,1971,Motor,Lekkasje,"Lekkasje, vann",Kjølevann havner i motorolja.,"Syke på disse Ford-motorene, at det ruster hull. Motoren kan være tett når den er kald, men når den blir driftsvarm kommer vannet ut.
Et forebyggende tiltak er å skifte kjølevæske ofte, og bruke rett type.
Korrigerende tiltak er å bore blokka og sette inn nye sylinderforinger.",Kjølevann blir borte,,,true,true,
Parkmaskin,Stiga,Park Compact 16 4WD,2007,Drivverk,Drivverk feil,Clutch slurer,Kjente at hydrostat-pedal var rar,Wire til hydrostat var løs i festet rett under pedalen og i neste feste.,Gikk ikke fremover,,,true,true,
